0,278
0,0634
0,0003
0,0001
0
0,0001
0,0001
0,0001
0
0,3359
0,0226
0,0002
0,0002
0,0002
0,0002
0,0001
0,0001
0
0,0025
0,0002
0,0002
0,0001
0,0002
0,0002
0,0002
0,0001
0,0002
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0002
0,0002
0,0002
0,0002
0,0002
0,0001
0,0002
0,0002
0,0003
0,0002
0,0002
0,0002
0,0002
0,0003
0
0,2919
0,0791
0,0003
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0001
0,0002
0,0001
0,0001
0,0001
0,0001
0,0002
0,0002
0,0001
0,0001
0,0002
0,0001
0,0001
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0002
0,0003
0,0002
0,0003
0,0003
0,0003
0,0003
0,0002
0,0003
0,0002
0,0003
0,0003
0,0003
0,0003
0,0003
0,0002
0,0003
0,0003
0,0003
0,0003
0,0003
0,0003
0,0003
0,0003
0,0004
0,0003
0,0003
0,0003
0,0004
0,0004
0,0003
0,0004
0,0004
0,0003
0,0004
0,0003
0,0004
0,0004
0,0004
0,0004
0,0004
0,0004
0,0004
0,0004
0,0004
0,0004
0,0004
0,0005
0,0004
0,0004
0,0005
0,0004
0,0004
0,0004
0,0004
0,0004
0,0005
0,0004
0,0005
0,0005
0,0005
0,0004
0,0004
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0006
0,0005
0,0006
0,0005
0,0005
0,0005
0,0005
0,0005
0,0005
0,0006
0,0006
0,0006
0,0005
0,0006
0,0006
0,0006
0,0006
0,0006
0,0006
0,0006
0,0006
0,0006
0,0006
0,0007
0,0006
0,0006
0,0006
0,0007
0,0007
0,0006
0,0007
0,0006
0,0006
0,0007
0,0007
0,0007
0,0007
0,0007
0,0006
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0007
0,0008
0,0007
0,0007
0,0007
0,0007
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0008
0,0009
0,0008
0,0008
0,0008
0,0008
0,0008
0,004
0,0008
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,0009
0,001
0,0009
0,0009
0,001
0,0009
0,0009
0,0009
0,0009
0,001
0,0009
0,001
0,001
0,0009
0,001
0,001
0,001
0,0009
0,0009
0,0009
0,0009
0,001
0,001
0,0009
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,001
0,0011
0,0011
0,0011
0,001
0,001
0,0011
0,0011
0,001
0,0011
0,001
0,0011
0,0011
0,0011
0,0011
0,001
0,0011
0,0011
0,0011
0,0011
0,0011
0,0011
0,0011
0,0012
0,0012
0,0012
0,0011
0,0011
0,0012
0,0012
0,0012
0,0012
0,0012
0,0011
0,0012
0,0012
0,0012
0,0012
0,0012
0,0011
0,0011
0,0012
0,0012
0,0012
0,0012
0,0013
0,0012
0,0013
0,0012
0,0012
0,0012
0,0012
0,0012
0,0013
0,0013
0,0013
0,0012
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0013
0,0014
0,0014
0,0014
0,0013
0,0013
0,0013
0,0013
0,0013
0,0014
0,0014
0,0014
0,0014
0,0014
0,0014
0,0013
0,0014
0,0014
0,0014
0,0014
0,0014
0,0014
0,0014
0,0014
0,0015
0,0014
0,0015
0,0015
0,0014
0,0014
0,0014
0,0015
0,0015
0,0015
0,0014
0,0014
0,0015
0,0015
0,0015
0,0015
0,0015
0,0015
0,0014
0,0015
0,0015
0,0015
0,0015
0,0015
0,0015
0,0015
0,0015
0,0016
0,0015
0,0015
0,0016
0,0016
0,0015
0,0015
0,0016
0,0016
0,0015
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0016
0,0017
0,0016
0,0016
0,0017
0,0017
0,0017
0,0016
0,0017
0,0017
0,0017
0,0017
0,0017
0,0017
